Customer ID,last_purchase,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Total,RFM_Code,Segment
12402.0,2011-01-20 13:49:00,6,1256.9,323,2,4,4,10,244,Loyal Customers
12403.0,2011-10-21 10:51:00,2,1019.36,49,4,2,3,9,423,Potential Loyalists
12404.0,2010-01-26 16:25:00,1,63.24,682,1,1,1,3,111,Lost
12405.0,2011-07-14 08:52:00,1,1710.39,148,3,1,4,8,314,Potential Loyalists
12406.0,2011-11-17 19:22:00,5,6390.36,22,4,4,5,13,445,Champions
12407.0,2011-10-21 10:11:00,5,1708.12,49,4,4,4,12,444,Loyal Customers
12408.0,2011-11-07 12:27:00,8,4340.77,32,4,4,5,13,445,Champions
12409.0,2011-09-22 10:38:00,7,23419.29,78,3,4,5,12,345,Loyal Customers
12410.0,2011-02-04 10:39:00,3,1013.71,308,2,3,3,8,233,At Risk
12411.0,2010-10-26 09:25:00,1,346.9,409,2,1,2,5,212,Need Attention
12412.0,2011-09-26 10:16:00,6,2596.93,74,3,4,4,11,344,Loyal Customers
12413.0,2011-10-04 09:00:00,4,999.45,66,3,3,3,9,333,Potential Loyalists
12414.0,2011-05-06 14:51:00,6,952.41,217,2,4,3,9,243,At Risk
12415.0,2011-11-15 14:22:00,28,144458.37,24,4,5,5,14,455,Champions
12416.0,2010-02-21 10:19:00,1,202.56,656,1,1,1,3,111,Lost
12417.0,2011-12-06 14:52:00,20,6816.91,3,5,5,5,15,555,Champions
12418.0,2011-08-19 11:08:00,4,2021.2,112,3,3,4,10,334,Loyal Customers
12419.0,2010-11-19 10:04:00,2,503.01,385,2,2,2,6,222,Need Attention
12420.0,2011-10-07 08:55:00,1,600.39,63,3,1,2,6,312,Need Attention
12421.0,2011-11-24 09:07:00,6,1098.6,15,5,4,3,12,543,Loyal Customers
12422.0,2011-09-05 09:48:00,17,5231.8,95,3,5,5,13,355,Champions
12423.0,2011-12-09 10:10:00,10,2622.39,0,5,5,4,14,554,Champions
12424.0,2011-06-30 12:06:00,4,3340.03,162,3,3,5,11,335,Loyal Customers
12425.0,2011-09-22 17:31:00,2,1741.41,78,3,2,4,9,324,Potential Loyalists
12426.0,2011-05-29 12:26:00,2,1345.21,194,2,2,4,8,224,Need Attention
12427.0,2011-11-18 08:56:00,3,1129.3,21,4,3,3,10,433,Loyal Customers
12428.0,2011-11-14 08:22:00,9,7956.46,25,4,5,5,14,455,Champions
12429.0,2011-11-30 17:22:00,8,7485.91,9,5,4,5,14,545,Champions
12430.0,2011-10-27 15:09:00,1,256.4,43,4,1,1,6,411,New Customers
12431.0,2011-11-04 11:55:00,27,10857.97,35,4,5,5,14,455,Champions
12432.0,2011-10-28 11:43:00,5,5059.32,42,4,4,5,13,445,Champions
12433.0,2011-12-09 10:02:00,10,20581.26,0,5,5,5,15,555,Champions
12434.0,2011-09-16 12:38:00,3,1103.43,84,3,3,3,9,333,Potential Loyalists
12435.0,2011-09-21 09:06:00,6,13925.93,79,3,4,5,12,345,Loyal Customers
12436.0,2011-09-01 12:09:00,1,509.01,99,3,1,2,6,312,Need Attention
12437.0,2011-12-08 11:35:00,39,12683.4,1,5,5,5,15,555,Champions
12438.0,2011-11-25 13:28:00,2,2906.85,14,5,2,4,11,524,Loyal Customers
12439.0,2010-01-26 12:11:00,2,1158.18,682,1,2,3,6,123,Need Attention
12440.0,2010-09-03 13:11:00,2,859.2,462,1,2,3,6,123,Need Attention
12441.0,2010-12-08 10:45:00,1,347.1,366,2,1,2,5,212,Need Attention
12442.0,2011-12-06 14:22:00,1,172.06,3,5,1,1,7,511,Potential Loyalists
12443.0,2009-12-07 15:42:00,1,485.31,732,1,1,2,4,112,Lost
12444.0,2011-11-18 13:23:00,5,5005.46,21,4,4,5,13,445,Champions
12445.0,2011-11-17 18:43:00,2,434.98,22,4,2,2,8,422,Potential Loyalists
12446.0,2011-10-13 12:50:00,1,1002.31,57,4,1,3,8,413,Potential Loyalists
12447.0,2011-04-10 13:25:00,1,476.49,243,2,1,2,5,212,Need Attention
12448.0,2011-10-26 13:46:00,1,449.45,44,4,1,2,7,412,Potential Loyalists
12449.0,2011-11-17 13:46:00,6,4835.89,22,4,4,5,13,445,Champions
12450.0,2011-07-06 14:41:00,5,688.2,156,3,4,3,10,343,Loyal Customers
12451.0,2011-11-29 08:40:00,8,12669.88,10,5,4,5,14,545,Champions
12452.0,2011-11-23 10:28:00,2,430.57,16,5,2,2,9,522,Potential Loyalists
12453.0,2011-07-28 14:08:00,1,707.09,134,3,1,3,7,313,Potential Loyalists
12454.0,2011-10-14 17:13:00,5,16679.78,56,4,4,5,13,445,Champions
12455.0,2011-09-27 15:31:00,10,5879.95,73,3,5,5,13,355,Champions
12456.0,2011-10-26 14:41:00,3,3181.04,44,4,3,5,12,435,Loyal Customers
12457.0,2011-10-04 13:13:00,8,2995.91,66,3,4,5,12,345,Loyal Customers
12458.0,2011-09-29 15:25:00,4,1777.49,71,3,3,4,10,334,Loyal Customers
12459.0,2010-04-13 14:53:00,1,454.36,605,1,1,2,4,112,Lost
12460.0,2010-09-09 13:51:00,1,326.65,456,1,1,2,4,112,Lost
12461.0,2011-09-06 16:57:00,2,826.88,94,3,2,3,8,323,Potential Loyalists
12462.0,2011-11-21 09:11:00,2,1189.59,18,5,2,3,10,523,Loyal Customers
12463.0,2011-10-17 13:44:00,4,1344.78,53,4,3,4,11,434,Loyal Customers
12464.0,2011-11-29 13:33:00,8,1212.05,10,5,4,3,12,543,Loyal Customers
12465.0,2011-11-22 16:34:00,2,742.19,17,5,2,3,10,523,Loyal Customers
12466.0,2010-01-26 16:26:00,1,56.73,682,1,1,1,3,111,Lost
12467.0,2010-10-12 15:41:00,1,132.8,423,1,1,1,3,111,Lost
12468.0,2011-06-05 11:36:00,5,3670.74,187,3,4,5,12,345,Loyal Customers
12469.0,2010-07-05 12:40:00,2,3070.54,522,1,2,5,8,125,Need Attention
12470.0,2010-01-19 11:01:00,1,211.95,689,1,1,1,3,111,Lost
12471.0,2011-12-07 15:43:00,79,39963.79,2,5,5,5,15,555,Champions
12472.0,2011-11-07 14:01:00,19,17880.59,32,4,5,5,14,455,Champions
12473.0,2011-11-10 13:46:00,5,3938.55,29,4,4,5,13,445,Champions
12474.0,2011-11-22 14:39:00,31,12424.45,17,5,5,5,15,555,Champions
12475.0,2011-10-17 10:10:00,2,1149.64,53,4,2,3,9,423,Potential Loyalists
12476.0,2011-11-24 12:40:00,23,14115.41,15,5,5,5,15,555,Champions
12477.0,2011-11-17 09:51:00,9,20276.37,22,4,5,5,14,455,Champions
12478.0,2011-12-06 09:56:00,1,680.99,3,5,1,3,9,513,Potential Loyalists
12479.0,2011-11-28 13:26:00,1,527.2,11,5,1,2,8,512,Potential Loyalists
12480.0,2011-11-11 14:52:00,7,5464.85,28,4,4,5,13,445,Champions
12481.0,2011-11-17 08:29:00,15,12361.39,22,4,5,5,14,455,Champions
12482.0,2010-05-12 16:51:00,29,23691.4,576,1,5,5,11,155,Loyal Customers
12483.0,2011-11-22 17:02:00,19,5120.58,17,5,5,5,15,555,Champions
12484.0,2011-11-07 11:37:00,12,6370.15,32,4,5,5,14,455,Champions
12485.0,2010-06-28 15:22:00,1,708.1,529,1,1,3,5,113,Need Attention
12486.0,2010-10-04 12:14:00,1,1037.28,431,1,1,3,5,113,Need Attention
12487.0,2009-12-09 11:36:00,1,285.3,730,1,1,1,3,111,Lost
12488.0,2011-11-30 08:50:00,3,1298.66,9,5,3,4,12,534,Loyal Customers
12489.0,2011-01-07 13:13:00,1,334.93,336,2,1,2,5,212,Need Attention
12490.0,2011-12-04 16:07:00,21,9823.64,5,5,5,5,15,555,Champions
12491.0,2011-11-01 12:18:00,1,460.4,38,4,1,2,7,412,Potential Loyalists
12492.0,2011-10-07 15:15:00,3,715.21,63,3,3,3,9,333,Potential Loyalists
12493.0,2011-06-27 10:17:00,2,433.74,165,3,2,2,7,322,Potential Loyalists
12494.0,2011-11-24 09:34:00,9,1872.87,15,5,5,4,14,554,Champions
12495.0,2010-03-09 10:53:00,1,357.4,640,1,1,2,4,112,Lost
12496.0,2010-03-29 14:06:00,2,54.09,620,1,2,1,4,121,Lost
12497.0,2011-09-19 12:29:00,3,6248.5,81,3,3,5,11,335,Loyal Customers
12498.0,2011-11-18 12:53:00,3,403.7,21,4,3,2,9,432,Potential Loyalists
12499.0,2010-05-28 15:12:00,1,393.72,560,1,1,2,4,112,Lost
12500.0,2011-11-16 16:20:00,19,5955.21,23,4,5,5,14,455,Champions
12501.0,2011-01-07 12:28:00,1,2169.39,336,2,1,4,7,214,Need Attention
12502.0,2011-09-05 11:52:00,5,3723.87,95,3,4,5,12,345,Loyal Customers
12503.0,2010-05-04 13:59:00,1,1126.0,584,1,1,3,5,113,Need Attention
12504.0,2011-11-21 16:02:00,4,779.05,18,5,3,3,11,533,Loyal Customers
12505.0,2010-10-27 09:18:00,1,955.2,408,2,1,3,6,213,Need Attention
12506.0,2011-04-21 08:54:00,1,73.5,232,2,1,1,4,211,Lost
12507.0,2011-07-28 17:09:00,4,1844.06,134,3,3,4,10,334,Loyal Customers
12508.0,2011-11-13 15:37:00,2,398.27,26,4,2,2,8,422,Potential Loyalists
12509.0,2011-02-28 14:45:00,1,176.5,284,2,1,1,4,211,Lost
12510.0,2011-07-20 10:15:00,9,5178.02,142,3,5,5,13,355,Champions
12511.0,2010-10-07 10:39:00,1,3084.02,428,1,1,5,7,115,Need Attention
12512.0,2011-10-04 14:55:00,2,138.03,66,3,2,1,6,321,Need Attention
12513.0,2011-08-19 10:51:00,1,612.29,112,3,1,2,6,312,Need Attention
12514.0,2011-03-17 16:38:00,2,1597.76,267,2,2,4,8,224,Need Attention
12515.0,2010-12-21 15:43:00,1,383.7,353,2,1,2,5,212,Need Attention
12516.0,2011-09-23 09:13:00,4,2648.62,77,3,3,4,10,334,Loyal Customers
12517.0,2011-11-11 14:04:00,5,2502.84,28,4,4,4,12,444,Loyal Customers
12518.0,2011-12-09 10:13:00,5,2056.89,0,5,4,4,13,544,Champions
12519.0,2011-10-07 09:26:00,2,726.54,63,3,2,3,8,323,Potential Loyalists
12520.0,2011-09-21 15:23:00,5,2634.26,79,3,4,4,11,344,Loyal Customers
12521.0,2011-07-20 10:51:00,1,599.68,142,3,1,2,6,312,Need Attention
12522.0,2011-10-31 15:30:00,2,192.72,39,4,2,1,7,421,Potential Loyalists
12523.0,2011-11-20 12:55:00,23,4372.15,19,5,5,5,15,555,Champions
12524.0,2011-11-30 15:31:00,17,11126.11,9,5,5,5,15,555,Champions
12525.0,2010-07-29 16:08:00,3,973.73,498,1,3,3,7,133,At Risk
12526.0,2011-12-09 12:09:00,3,1316.66,0,5,3,4,12,534,Loyal Customers
12527.0,2011-09-19 11:55:00,5,735.51,81,3,4,3,10,343,Loyal Customers
12528.0,2011-11-30 14:40:00,6,1933.48,9,5,4,4,13,544,Champions
12529.0,2010-06-29 13:10:00,1,316.48,528,1,1,2,4,112,Lost
12530.0,2011-10-11 12:34:00,9,3759.26,59,3,5,5,13,355,Champions
12531.0,2011-11-25 11:12:00,2,1933.2,14,5,2,4,11,524,Loyal Customers
12532.0,2011-11-09 13:47:00,1,349.83,30,4,1,2,7,412,Potential Loyalists
12533.0,2010-03-22 10:56:00,2,1367.89,627,1,2,4,7,124,Need Attention
12534.0,2011-08-01 10:26:00,1,1089.18,130,3,1,3,7,313,Potential Loyalists
12535.0,2011-09-09 08:48:00,2,716.35,91,3,2,3,8,323,Potential Loyalists
12536.0,2011-10-27 14:20:00,3,12601.83,43,4,3,5,12,435,Loyal Customers
12537.0,2010-10-27 08:36:00,1,732.94,408,2,1,3,6,213,Need Attention
12538.0,2011-11-10 17:16:00,2,640.45,29,4,2,3,9,423,Potential Loyalists
12539.0,2011-11-17 13:30:00,7,11214.75,22,4,4,5,13,445,Champions
12540.0,2011-11-20 11:31:00,33,22254.49,19,5,5,5,15,555,Champions
12541.0,2011-11-10 10:40:00,3,981.18,29,4,3,3,10,433,Loyal Customers
12542.0,2010-08-12 19:12:00,2,481.88,484,1,2,2,5,122,Need Attention
12543.0,2010-09-17 15:51:00,1,980.25,448,1,1,3,5,113,Need Attention
12544.0,2011-11-03 16:15:00,1,372.7,36,4,1,2,7,412,Potential Loyalists
12545.0,2011-09-25 13:39:00,2,1000.39,75,3,2,3,8,323,Potential Loyalists
12546.0,2011-10-24 12:09:00,2,1161.5,46,4,2,3,9,423,Potential Loyalists
12547.0,2011-05-26 12:38:00,3,383.58,197,2,3,2,7,232,At Risk
12548.0,2011-06-26 15:35:00,1,95.2,166,3,1,1,5,311,Need Attention
12549.0,2010-05-13 12:05:00,6,1575.68,575,1,4,4,9,144,At Risk
12550.0,2011-09-21 14:35:00,1,964.83,79,3,1,3,7,313,Potential Loyalists
12551.0,2010-12-17 11:23:00,1,168.0,357,2,1,1,4,211,Lost
12552.0,2011-11-01 10:02:00,2,437.82,38,4,2,2,8,422,Potential Loyalists
12553.0,2011-12-01 16:38:00,12,4608.75,8,5,5,5,15,555,Champions
12554.0,2010-09-17 12:29:00,1,468.5,448,1,1,2,4,112,Lost
12555.0,2010-01-26 16:26:00,1,129.23,682,1,1,1,3,111,Lost
12556.0,2011-10-20 13:06:00,2,603.71,50,4,2,2,8,422,Potential Loyalists
12557.0,2011-11-23 16:59:00,8,18716.14,16,5,4,5,14,545,Champions
12558.0,2011-12-02 10:41:00,1,269.96,7,5,1,1,7,511,Potential Loyalists
12559.0,2011-02-02 09:49:00,2,561.71,310,2,2,2,6,222,Need Attention
12560.0,2011-12-04 13:54:00,3,2134.01,5,5,3,4,12,534,Loyal Customers
12561.0,2011-02-10 11:39:00,1,238.85,302,2,1,1,4,211,Lost
12562.0,2011-12-01 17:20:00,9,4966.92,8,5,5,5,15,555,Champions
12563.0,2010-10-27 09:52:00,1,249.24,408,2,1,1,4,211,Lost
12564.0,2011-03-23 14:55:00,1,456.9,261,2,1,2,5,212,Need Attention
12565.0,2011-02-24 10:34:00,1,145.92,288,2,1,1,4,211,Lost
12566.0,2011-09-14 14:30:00,1,351.65,86,3,1,2,6,312,Need Attention
12567.0,2011-11-17 11:02:00,15,13709.86,22,4,5,5,14,455,Champions
12568.0,2010-03-05 09:15:00,1,70.0,644,1,1,1,3,111,Lost
12569.0,2011-12-07 16:24:00,32,4124.69,2,5,5,5,15,555,Champions
12570.0,2010-01-26 17:28:00,1,77.52,682,1,1,1,3,111,Lost
12571.0,2011-10-31 10:19:00,2,519.61,39,4,2,2,8,422,Potential Loyalists
12572.0,2011-12-01 09:20:00,2,1020.42,8,5,2,3,10,523,Loyal Customers
12573.0,2011-04-26 15:52:00,5,717.41,227,2,4,3,9,243,At Risk
12574.0,2011-01-28 09:20:00,1,218.45,315,2,1,1,4,211,Lost
12575.0,2010-09-08 13:09:00,2,622.82,457,1,2,3,6,123,Need Attention
12576.0,2011-11-04 10:11:00,8,2142.72,35,4,4,4,12,444,Loyal Customers
12577.0,2011-11-04 13:24:00,8,1653.75,35,4,4,4,12,444,Loyal Customers
12578.0,2011-11-18 13:30:00,4,4642.45,21,4,3,5,12,435,Loyal Customers
12579.0,2011-09-22 17:15:00,1,440.42,78,3,1,2,6,312,Need Attention
12580.0,2011-04-07 10:24:00,2,1052.9,246,2,2,3,7,223,Need Attention
12581.0,2011-10-31 08:56:00,1,197.71,39,4,1,1,6,411,New Customers
12582.0,2011-04-15 08:45:00,4,1980.4,238,2,3,4,9,234,At Risk
12583.0,2011-12-07 08:07:00,27,14447.44,2,5,5,5,15,555,Champions
12584.0,2011-12-06 09:35:00,9,2338.15,3,5,5,4,14,554,Champions
12585.0,2011-04-19 13:39:00,2,2040.1,234,2,2,4,8,224,Need Attention
12586.0,2011-11-22 16:24:00,4,2062.67,17,5,3,4,12,534,Loyal Customers
12587.0,2011-12-02 12:47:00,1,144.0,7,5,1,1,7,511,Potential Loyalists
12588.0,2011-10-31 15:01:00,4,958.78,39,4,3,3,10,433,Loyal Customers
12589.0,2011-11-11 10:19:00,8,4695.66,28,4,4,5,13,445,Champions
12590.0,2011-05-12 14:52:00,2,9864.26,211,2,2,5,9,225,Need Attention
12591.0,2011-01-26 14:35:00,3,1352.15,317,2,3,4,9,234,At Risk
12592.0,2011-09-08 15:04:00,5,2582.66,92,3,4,4,11,344,Loyal Customers
12593.0,2011-08-23 12:43:00,3,418.1,108,3,3,2,8,332,Potential Loyalists
12594.0,2011-11-02 12:20:00,15,5090.11,37,4,5,5,14,455,Champions
12595.0,2010-07-23 09:10:00,1,299.02,504,1,1,2,4,112,Lost
12596.0,2011-10-19 13:02:00,2,618.27,51,4,2,3,9,423,Potential Loyalists
12597.0,2011-11-20 13:33:00,4,3811.22,19,5,3,5,13,535,Champions
12598.0,2011-11-30 12:18:00,11,4534.09,9,5,5,5,15,555,Champions
12599.0,2011-11-10 13:34:00,13,2296.72,29,4,5,4,13,454,Champions
12600.0,2011-11-11 10:29:00,21,5043.92,28,4,5,5,14,455,Champions
12601.0,2011-06-03 10:17:00,6,681.26,189,3,4,3,10,343,Loyal Customers
12602.0,2011-10-12 11:22:00,1,153.12,58,4,1,1,6,411,New Customers
12603.0,2011-11-18 10:42:00,1,739.2,21,4,1,3,8,413,Potential Loyalists
12604.0,2011-09-21 14:08:00,2,254.18,79,3,2,1,6,321,Need Attention
12605.0,2010-11-28 14:18:00,4,1232.95,376,2,3,3,8,233,At Risk
12606.0,2010-01-26 16:23:00,1,21.0,682,1,1,1,3,111,Lost
12607.0,2011-10-10 16:06:00,1,1579.51,60,3,1,4,8,314,Potential Loyalists
12608.0,2010-10-31 10:49:00,1,415.79,404,2,1,2,5,212,Need Attention
12609.0,2011-09-22 16:34:00,9,3435.86,78,3,5,5,13,355,Champions
12610.0,2011-11-17 09:34:00,5,2099.54,22,4,4,4,12,444,Loyal Customers
12611.0,2011-10-18 13:12:00,1,1193.32,52,4,1,3,8,413,Potential Loyalists
12612.0,2011-09-26 15:35:00,1,704.04,74,3,1,3,7,313,Potential Loyalists
12613.0,2011-10-13 14:59:00,10,6835.07,57,4,5,5,14,455,Champions
12614.0,2011-03-07 10:22:00,1,315.6,277,2,1,2,5,212,Need Attention
12615.0,2011-12-07 15:02:00,8,5740.98,2,5,4,5,14,545,Champions
12616.0,2011-09-05 15:17:00,3,1131.1,95,3,3,3,9,333,Potential Loyalists
12617.0,2011-11-10 14:39:00,1,355.53,29,4,1,2,7,412,Potential Loyalists
12618.0,2011-11-18 11:10:00,1,177.31,21,4,1,1,6,411,New Customers
12619.0,2011-11-23 14:52:00,10,3781.38,16,5,5,5,15,555,Champions
12620.0,2011-11-25 10:20:00,3,1339.41,14,5,3,4,12,534,Loyal Customers
12621.0,2011-12-08 11:25:00,35,24775.81,1,5,5,5,15,555,Champions
12622.0,2011-04-21 16:39:00,1,180.1,232,2,1,1,4,211,Lost
12623.0,2011-03-08 13:50:00,7,3747.84,276,2,4,5,11,245,Loyal Customers
12624.0,2011-08-25 15:04:00,2,641.13,106,3,2,3,8,323,Potential Loyalists
12625.0,2011-05-12 09:54:00,4,5164.88,211,2,3,5,10,235,Loyal Customers
12626.0,2011-11-16 16:06:00,9,6620.48,23,4,5,5,14,455,Champions
12627.0,2011-11-29 12:07:00,7,4478.53,10,5,4,5,14,545,Champions
12628.0,2011-12-05 13:15:00,3,786.46,4,5,3,3,11,533,Loyal Customers
12629.0,2010-11-19 09:18:00,2,1558.22,385,2,2,4,8,224,Need Attention
12630.0,2011-11-30 10:48:00,2,1270.88,9,5,2,4,11,524,Loyal Customers
12631.0,2011-10-13 13:53:00,6,3481.57,57,4,4,5,13,445,Champions
12632.0,2010-07-07 09:39:00,2,804.88,520,1,2,3,6,123,Need Attention
12633.0,2011-10-12 11:40:00,7,5678.16,58,4,4,5,13,445,Champions
12634.0,2010-06-22 10:05:00,2,490.0,535,1,2,2,5,122,Need Attention
12635.0,2011-09-11 11:04:00,4,2930.41,89,3,3,4,10,334,Loyal Customers
12636.0,2009-12-01 09:55:00,1,141.0,738,1,1,1,3,111,Lost
12637.0,2011-10-03 13:46:00,12,8340.31,67,3,5,5,13,355,Champions
12638.0,2011-11-06 13:11:00,2,921.49,33,4,2,3,9,423,Potential Loyalists
12639.0,2011-04-15 12:48:00,3,1312.37,238,2,3,4,9,234,At Risk
12640.0,2011-11-16 11:52:00,3,1174.58,23,4,3,3,10,433,Loyal Customers
12641.0,2011-08-16 13:26:00,1,185.9,115,3,1,1,5,311,Need Attention
12642.0,2011-11-14 15:03:00,3,1013.26,25,4,3,3,10,433,Loyal Customers
12643.0,2011-08-03 12:56:00,12,8350.42,128,3,5,5,13,355,Champions
12644.0,2011-08-02 10:33:00,4,1918.49,129,3,3,4,10,334,Loyal Customers
12645.0,2011-11-06 12:38:00,8,3539.3,33,4,4,5,13,445,Champions
12646.0,2011-12-05 10:14:00,2,1346.97,4,5,2,4,11,524,Loyal Customers
12647.0,2011-11-17 12:56:00,36,17924.35,22,4,5,5,14,455,Champions
12648.0,2011-07-08 11:55:00,4,1112.0,154,3,3,3,9,333,Potential Loyalists
12649.0,2011-08-24 14:41:00,8,2294.65,107,3,4,4,11,344,Loyal Customers
12650.0,2011-12-06 16:34:00,1,314.44,3,5,1,2,8,512,Potential Loyalists
12651.0,2011-01-09 12:46:00,4,377.75,334,2,3,2,7,232,At Risk
12652.0,2011-01-12 15:00:00,2,1017.03,331,2,2,3,7,223,Need Attention
12653.0,2011-07-14 10:41:00,3,4160.83,148,3,3,5,11,335,Loyal Customers
12654.0,2011-11-29 10:10:00,5,601.98,10,5,4,2,11,542,Loyal Customers
12655.0,2010-10-12 09:17:00,1,261.35,423,1,1,1,3,111,Lost
12656.0,2011-11-22 13:42:00,8,6407.83,17,5,4,5,14,545,Champions
12657.0,2011-11-28 15:47:00,4,1643.18,11,5,3,4,12,534,Loyal Customers
12658.0,2011-11-21 10:22:00,1,686.05,18,5,1,3,9,513,Potential Loyalists
12659.0,2011-11-10 11:53:00,1,91.68,29,4,1,1,6,411,New Customers
12660.0,2011-11-28 13:26:00,1,245.1,11,5,1,1,7,511,Potential Loyalists
12661.0,2010-09-29 16:46:00,1,162.0,436,1,1,1,3,111,Lost
12662.0,2011-12-09 11:59:00,20,6988.02,0,5,5,5,15,555,Champions
12663.0,2010-03-25 09:40:00,2,239.4,624,1,2,1,4,121,Lost
12664.0,2011-12-01 17:07:00,11,6070.04,8,5,5,5,15,555,Champions
12665.0,2011-01-19 08:34:00,3,313.6,324,2,3,2,7,232,At Risk
12666.0,2010-11-10 16:40:00,1,1248.42,394,2,1,3,6,213,Need Attention
12667.0,2011-10-12 17:00:00,1,620.13,58,4,1,3,8,413,Potential Loyalists
12668.0,2011-11-28 10:56:00,10,11444.68,11,5,5,5,15,555,Champions
12669.0,2011-07-12 09:54:00,3,2744.03,150,3,3,4,10,334,Loyal Customers
12670.0,2011-11-29 15:23:00,7,3760.29,10,5,4,5,14,545,Champions
